Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ian-vyse (bc-uncertainty) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.19.8
wandb: Run data is saved locally in /home/vyseian/GitHub/SAILOR/wandb/run-20260114_191551-p0lotglo
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run robomimic__square/seed0_demos299
wandb: ⭐️ View project at https://wandb.ai/bc-uncertainty/SAILOR_robomimic
wandb: 🚀 View run at https://wandb.ai/bc-uncertainty/SAILOR_robomimic/runs/p0lotglo
[robosuite WARNING] No private macro file found! (macros.py:53)
[robosuite WARNING] It is recommended to use a private macro file (macros.py:54)
[robosuite WARNING] To setup, run: python /home/vyseian/miniconda3/envs/robomimic_env/lib/python3.10/site-packages/robosuite/scripts/setup_macros.py (macros.py:55)
Logdir scratch_dir/logs/robomimic__square/seed0_demos299/seed0
---------------------
Task: robomimic__square
Logging to: scratch_dir/logs/robomimic__square/seed0_demos299/seed0
Time Limit: 500 | Max Env Steps: 756756
---------------------
ROBOMIMIC WARNING(
    No private macro file found!
    It is recommended to use a private macro file
    To setup, run: python /home/vyseian/miniconda3/envs/robomimic_env/lib/python3.10/site-packages/robomimic/scripts/setup_macros.py
)
Initizalizing norm_dict with ob_dim=9 and ac_dim=7
Loaded 299 training episodes
Loaded 1 validation episodes
Min expert demo length: 123
Max expert demo length: 1051
Avg expert demo length: 268.8026755852843
Enviroment State Dim: 9, Action Dim: 7
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Action Space: Box(-1.0, 1.0, (7,), float32). Low: [-1. -1. -1. -1. -1. -1. -1.]. High: [1. 1. 1. 1. 1. 1. 1.]
----------------No base policy path provided, begin training diffusion policy--------------
DiffusionUnet + ResNet18 has 27272407 parameters
Scheduler Initialized:  <data4robotics.trainers.base.CosineAnnealingWarmupRestarts object at 0x7a5cd8ac1660>
DP Step: 0	Log Step: 0	Loss: 68.08232116699219
DP Step: 30300	Log Step: 30300	Loss: 1.426331877708435
DP Step: 30400	Log Step: 30400	Loss: 1.3322464227676392
DP Step: 30500	Log Step: 30500	Loss: 1.815704345703125
DP Step: 30600	Log Step: 30600	Loss: 1.7745280265808105
DP Step: 30700	Log Step: 30700	Loss: 1.0438263416290283
DP Step: 30800	Log Step: 30800	Loss: 1.492431640625
DP Step: 30900	Log Step: 30900	Loss: 1.0956382751464844
DP Step: 31000	Log Step: 31000	Loss: 0.9348905086517334
DP Step: 31100	Log Step: 31100	Loss: 1.3748841285705566
DP Step: 31200	Log Step: 31200	Loss: 1.6672052145004272
DP Step: 31300	Log Step: 31300	Loss: 1.6888792514801025
DP Step: 31400	Log Step: 31400	Loss: 1.0000306367874146
DP Step: 31500	Log Step: 31500	Loss: 1.3232967853546143
DP Step: 31600	Log Step: 31600	Loss: 0.8431902527809143
DP Step: 31700	Log Step: 31700	Loss: 0.7902202606201172
DP Step: 31800	Log Step: 31800	Loss: 1.3792601823806763
DP Step: 31900	Log Step: 31900	Loss: 1.405775785446167
DP Step: 32000	Log Step: 32000	Loss: 1.1105926036834717
DP Step: 32100	Log Step: 32100	Loss: 2.0326626300811768
DP Step: 32200	Log Step: 32200	Loss: 2.240381956100464
DP Step: 32300	Log Step: 32300	Loss: 1.7792119979858398
DP Step: 32400	Log Step: 32400	Loss: 1.3271270990371704
DP Step: 32500	Log Step: 32500	Loss: 2.373347759246826
DP Step: 32600	Log Step: 32600	Loss: 1.9658827781677246
DP Step: 32700	Log Step: 32700	Loss: 2.5359296798706055
DP Step: 32800	Log Step: 32800	Loss: 2.189809799194336
DP Step: 32900	Log Step: 32900	Loss: 1.716589093208313
DP Step: 33000	Log Step: 33000	Loss: 1.0525014400482178
DP Step: 33100	Log Step: 33100	Loss: 2.217888355255127
DP Step: 33200	Log Step: 33200	Loss: 1.7747021913528442
DP Step: 33300	Log Step: 33300	Loss: 1.7282719612121582
DP Step: 33400	Log Step: 33400	Loss: 1.5901753902435303
DP Step: 33500	Log Step: 33500	Loss: 1.5799812078475952
DP Step: 33600	Log Step: 33600	Loss: 2.229398250579834
DP Step: 33700	Log Step: 33700	Loss: 1.596150279045105
DP Step: 33800	Log Step: 33800	Loss: 1.652415156364441
DP Step: 33900	Log Step: 33900	Loss: 1.113922357559204
DP Step: 34000	Log Step: 34000	Loss: 1.8323781490325928
DP Step: 34100	Log Step: 34100	Loss: 1.4530928134918213
DP Step: 34200	Log Step: 34200	Loss: 2.0858852863311768
DP Step: 34300	Log Step: 34300	Loss: 2.344395399093628
DP Step: 34400	Log Step: 34400	Loss: 1.546492099761963
DP Step: 34500	Log Step: 34500	Loss: 1.1323306560516357
DP Step: 34600	Log Step: 34600	Loss: 1.862851619720459
DP Step: 34700	Log Step: 34700	Loss: 1.5660789012908936
DP Step: 34800	Log Step: 34800	Loss: 1.4533087015151978
DP Step: 34900	Log Step: 34900	Loss: 1.711472988128662
DP Step: 35000	Log Step: 35000	Loss: 1.373902440071106
DP Step: 35100	Log Step: 35100	Loss: 1.8329167366027832
DP Step: 35200	Log Step: 35200	Loss: 1.9917699098587036
DP Step: 35300	Log Step: 35300	Loss: 1.4718643426895142
DP Step: 35400	Log Step: 35400	Loss: 1.6572530269622803
DP Step: 35500	Log Step: 35500	Loss: 1.8392845392227173
DP Step: 35600	Log Step: 35600	Loss: 2.048800230026245
DP Step: 35700	Log Step: 35700	Loss: 1.3472998142242432
DP Step: 35800	Log Step: 35800	Loss: 1.2490134239196777
DP Step: 35900	Log Step: 35900	Loss: 1.4524707794189453
DP Step: 36000	Log Step: 36000	Loss: 1.6797784566879272
Storing model weights params and loading EMA to model.
Validation BC Loss: 1.5413561637687152
Evaluating Agent num_eval_runs: 50, num_envs: 10, NUM_RUNS: 5
Seed: 0
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 0
	Average Success Rate: 0.6
	Average Total Reward: -285.27933138431706
	Average Episode Length: 336.1
	Average Total Orig Reward: 51.420668615683084
Seed: 1
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 1
	Average Success Rate: 0.4
	Average Total Reward: -343.04892388695237
	Average Episode Length: 395.9
	Average Total Orig Reward: 53.25107611304759
Seed: 2
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 2
	Average Success Rate: 0.7
	Average Total Reward: -238.80735297043648
	Average Episode Length: 306.7
	Average Total Orig Reward: 68.59264702956355
Seed: 3
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 3
	Average Success Rate: 0.8
	Average Total Reward: -248.8544668184336
	Average Episode Length: 318.4
	Average Total Orig Reward: 70.34553318156641
Seed: 4
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 4
	Average Success Rate: 0.6
	Average Total Reward: -279.5999655712303
	Average Episode Length: 364.6
	Average Total Orig Reward: 85.60003442876959
Average Success Rate: 0.62
Average Total Average Reward: -279.118008126274
Average Episode Length: 344.34
Average Total Average Orig Reward: 65.84199187372603
Time taken: 383.0337460041046
Restoring model weights from EMA.
Checkpoint saved to scratch_dir/logs/robomimic__square/seed0_demos299/seed0/DP_Pretrain_base_policy_latest.pt at step 36000
DP Step: 36100	Log Step: 36100	Loss: 1.4687550067901611
DP Step: 36200	Log Step: 36200	Loss: 1.8606359958648682
DP Step: 36300	Log Step: 36300	Loss: 1.3179662227630615
DP Step: 36400	Log Step: 36400	Loss: 2.178443670272827
DP Step: 36500	Log Step: 36500	Loss: 1.5154881477355957
DP Step: 36600	Log Step: 36600	Loss: 1.2981104850769043
DP Step: 36700	Log Step: 36700	Loss: 1.4943556785583496
DP Step: 36800	Log Step: 36800	Loss: 2.1176655292510986
DP Step: 36900	Log Step: 36900	Loss: 1.2469087839126587
DP Step: 37000	Log Step: 37000	Loss: 1.3714599609375
DP Step: 37100	Log Step: 37100	Loss: 1.6524569988250732
DP Step: 37200	Log Step: 37200	Loss: 1.057883620262146
DP Step: 37300	Log Step: 37300	Loss: 1.45407235622406
DP Step: 37400	Log Step: 37400	Loss: 1.6980116367340088
DP Step: 37500	Log Step: 37500	Loss: 1.6662876605987549
DP Step: 37600	Log Step: 37600	Loss: 1.5421764850616455
DP Step: 37700	Log Step: 37700	Loss: 1.7569447755813599
DP Step: 37800	Log Step: 37800	Loss: 1.8343329429626465
DP Step: 37900	Log Step: 37900	Loss: 1.5774873495101929
DP Step: 38000	Log Step: 38000	Loss: 1.0731498003005981
DP Step: 38100	Log Step: 38100	Loss: 1.1005656719207764
DP Step: 38200	Log Step: 38200	Loss: 1.9651217460632324
DP Step: 38300	Log Step: 38300	Loss: 1.0983080863952637
DP Step: 38400	Log Step: 38400	Loss: 1.4743478298187256
DP Step: 38500	Log Step: 38500	Loss: 1.0531179904937744
DP Step: 38600	Log Step: 38600	Loss: 0.9656063914299011
DP Step: 38700	Log Step: 38700	Loss: 1.8324129581451416
DP Step: 38800	Log Step: 38800	Loss: 1.4571245908737183
DP Step: 38900	Log Step: 38900	Loss: 1.7464258670806885
DP Step: 39000	Log Step: 39000	Loss: 1.0121920108795166
DP Step: 39100	Log Step: 39100	Loss: 0.9975488185882568
DP Step: 39200	Log Step: 39200	Loss: 1.5463882684707642
DP Step: 39300	Log Step: 39300	Loss: 1.4652423858642578
DP Step: 39400	Log Step: 39400	Loss: 0.9752534627914429
DP Step: 39500	Log Step: 39500	Loss: 0.7676145434379578
DP Step: 39600	Log Step: 39600	Loss: 1.1083190441131592
DP Step: 39700	Log Step: 39700	Loss: 0.7367060780525208
DP Step: 39800	Log Step: 39800	Loss: 1.074051856994629
DP Step: 39900	Log Step: 39900	Loss: 1.2908776998519897
DP Step: 40000	Log Step: 40000	Loss: 0.7718769311904907
DP Step: 40100	Log Step: 40100	Loss: 1.2250553369522095
DP Step: 40200	Log Step: 40200	Loss: 1.4571800231933594
DP Step: 40300	Log Step: 40300	Loss: 1.6430219411849976
DP Step: 40400	Log Step: 40400	Loss: 1.2272670269012451
DP Step: 40500	Log Step: 40500	Loss: 1.4958347082138062
DP Step: 40600	Log Step: 40600	Loss: 1.2181339263916016
DP Step: 40700	Log Step: 40700	Loss: 2.4702095985412598
DP Step: 40800	Log Step: 40800	Loss: 1.7884935140609741
DP Step: 40900	Log Step: 40900	Loss: 1.7504210472106934
DP Step: 41000	Log Step: 41000	Loss: 1.8959136009216309
DP Step: 41100	Log Step: 41100	Loss: 1.7048590183258057
DP Step: 41200	Log Step: 41200	Loss: 0.9575674533843994
DP Step: 41300	Log Step: 41300	Loss: 1.1881661415100098
DP Step: 41400	Log Step: 41400	Loss: 1.1165087223052979
DP Step: 41500	Log Step: 41500	Loss: 1.6562385559082031
DP Step: 41600	Log Step: 41600	Loss: 1.8015336990356445
DP Step: 41700	Log Step: 41700	Loss: 1.7016384601593018
DP Step: 41800	Log Step: 41800	Loss: 1.984876036643982
DP Step: 41900	Log Step: 41900	Loss: 1.3799850940704346
DP Step: 42000	Log Step: 42000	Loss: 1.1154074668884277
DP Step: 42100	Log Step: 42100	Loss: 1.9864294528961182
DP Step: 42200	Log Step: 42200	Loss: 2.1727137565612793
DP Step: 42300	Log Step: 42300	Loss: 1.4737094640731812
DP Step: 42400	Log Step: 42400	Loss: 1.6938278675079346
DP Step: 42500	Log Step: 42500	Loss: 1.9430150985717773
DP Step: 42600	Log Step: 42600	Loss: 2.6963562965393066
DP Step: 42700	Log Step: 42700	Loss: 1.2105668783187866
DP Step: 42800	Log Step: 42800	Loss: 1.772583246231079
DP Step: 42900	Log Step: 42900	Loss: 0.9813881516456604
DP Step: 43000	Log Step: 43000	Loss: 1.413549780845642
DP Step: 43100	Log Step: 43100	Loss: 1.5767145156860352
DP Step: 43200	Log Step: 43200	Loss: 1.8527719974517822
DP Step: 43300	Log Step: 43300	Loss: 1.4721825122833252
DP Step: 43400	Log Step: 43400	Loss: 1.5282374620437622
DP Step: 43500	Log Step: 43500	Loss: 1.19594144821167
DP Step: 43600	Log Step: 43600	Loss: 1.221104621887207
DP Step: 43700	Log Step: 43700	Loss: 0.7892253398895264
DP Step: 43800	Log Step: 43800	Loss: 1.547419786453247
DP Step: 43900	Log Step: 43900	Loss: 1.6802916526794434
DP Step: 44000	Log Step: 44000	Loss: 1.1751645803451538
DP Step: 44100	Log Step: 44100	Loss: 1.3564550876617432
DP Step: 44200	Log Step: 44200	Loss: 1.9074537754058838
DP Step: 44300	Log Step: 44300	Loss: 1.0787546634674072
DP Step: 44400	Log Step: 44400	Loss: 1.0832633972167969
DP Step: 44500	Log Step: 44500	Loss: 1.6920053958892822
DP Step: 44600	Log Step: 44600	Loss: 1.5848459005355835
DP Step: 44700	Log Step: 44700	Loss: 1.8899749517440796
DP Step: 44800	Log Step: 44800	Loss: 1.6610519886016846
DP Step: 44900	Log Step: 44900	Loss: 1.1000806093215942
DP Step: 45000	Log Step: 45000	Loss: 0.7075316309928894
DP Step: 45100	Log Step: 45100	Loss: 1.682631254196167
DP Step: 45200	Log Step: 45200	Loss: 1.0635653734207153
DP Step: 45300	Log Step: 45300	Loss: 0.9008461236953735
DP Step: 45400	Log Step: 45400	Loss: 1.0236902236938477
DP Step: 45500	Log Step: 45500	Loss: 1.1018584966659546
DP Step: 45600	Log Step: 45600	Loss: 1.7881673574447632
DP Step: 45700	Log Step: 45700	Loss: 1.2067234516143799
DP Step: 45800	Log Step: 45800	Loss: 1.1547775268554688
DP Step: 45900	Log Step: 45900	Loss: 0.6400376558303833
DP Step: 46000	Log Step: 46000	Loss: 0.9590154886245728
DP Step: 46100	Log Step: 46100	Loss: 1.0630803108215332
DP Step: 46200	Log Step: 46200	Loss: 1.712048053741455
DP Step: 46300	Log Step: 46300	Loss: 1.4992270469665527
DP Step: 46400	Log Step: 46400	Loss: 0.8988187313079834
DP Step: 46500	Log Step: 46500	Loss: 1.0640735626220703
DP Step: 46600	Log Step: 46600	Loss: 1.398313283920288
DP Step: 46700	Log Step: 46700	Loss: 1.106595754623413
DP Step: 46800	Log Step: 46800	Loss: 0.6898946762084961
DP Step: 46900	Log Step: 46900	Loss: 1.0379703044891357
DP Step: 47000	Log Step: 47000	Loss: 0.7776809334754944
DP Step: 47100	Log Step: 47100	Loss: 1.2945818901062012
DP Step: 47200	Log Step: 47200	Loss: 1.245270013809204
DP Step: 47300	Log Step: 47300	Loss: 0.9951829314231873
DP Step: 47400	Log Step: 47400	Loss: 1.1516485214233398
DP Step: 47500	Log Step: 47500	Loss: 0.771686851978302
DP Step: 47600	Log Step: 47600	Loss: 1.3421595096588135
DP Step: 47700	Log Step: 47700	Loss: 0.8119368553161621
DP Step: 47800	Log Step: 47800	Loss: 0.9154704809188843
DP Step: 47900	Log Step: 47900	Loss: 1.2234539985656738
DP Step: 48000	Log Step: 48000	Loss: 0.9991239309310913
Storing model weights params and loading EMA to model.
Validation BC Loss: 1.428589717259314
Evaluating Agent num_eval_runs: 50, num_envs: 10, NUM_RUNS: 5
Seed: 0
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 0
	Average Success Rate: 0.8
	Average Total Reward: -229.77869230973928
	Average Episode Length: 295.8
	Average Total Orig Reward: 66.82130769026071
Seed: 1
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 1
	Average Success Rate: 0.6
	Average Total Reward: -279.72519258992554
	Average Episode Length: 350.5
	Average Total Orig Reward: 71.3748074100747
Seed: 2
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 2
	Average Success Rate: 0.6
	Average Total Reward: -263.91665404419507
	Average Episode Length: 347.8
	Average Total Orig Reward: 84.4833459558049
Seed: 3
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 3
	Average Success Rate: 0.6
	Average Total Reward: -210.0426085484815
	Average Episode Length: 318.1
	Average Total Orig Reward: 108.65739145151854
Seed: 4
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 4
	Average Success Rate: 0.7
	Average Total Reward: -231.59991253919762
	Average Episode Length: 305.5
	Average Total Orig Reward: 74.60008746080223
Average Success Rate: 0.6599999999999999
Average Total Average Reward: -243.01261200630785
Average Episode Length: 323.53999999999996
Average Total Average Orig Reward: 81.18738799369223
Time taken: 373.94746351242065
Restoring model weights from EMA.
Checkpoint saved to scratch_dir/logs/robomimic__square/seed0_demos299/seed0/DP_Pretrain_base_policy_latest.pt at step 48000
DP Step: 48100	Log Step: 48100	Loss: 1.2261903285980225
DP Step: 48200	Log Step: 48200	Loss: 2.369605541229248
DP Step: 48300	Log Step: 48300	Loss: 1.4795194864273071
DP Step: 48400	Log Step: 48400	Loss: 1.9199395179748535
DP Step: 48500	Log Step: 48500	Loss: 1.4542384147644043
DP Step: 48600	Log Step: 48600	Loss: 1.570866346359253
DP Step: 48700	Log Step: 48700	Loss: 1.6151213645935059
DP Step: 48800	Log Step: 48800	Loss: 2.049464225769043
DP Step: 48900	Log Step: 48900	Loss: 1.6626909971237183
DP Step: 49000	Log Step: 49000	Loss: 1.1563072204589844
DP Step: 49100	Log Step: 49100	Loss: 1.3316940069198608
DP Step: 49200	Log Step: 49200	Loss: 1.5078837871551514
DP Step: 49300	Log Step: 49300	Loss: 1.9758116006851196
DP Step: 49400	Log Step: 49400	Loss: 1.8485314846038818
DP Step: 49500	Log Step: 49500	Loss: 1.949572205543518
DP Step: 49600	Log Step: 49600	Loss: 1.6756504774093628
DP Step: 49700	Log Step: 49700	Loss: 1.3841798305511475
DP Step: 49800	Log Step: 49800	Loss: 1.8230133056640625
DP Step: 49900	Log Step: 49900	Loss: 1.8734409809112549
DP Step: 50000	Log Step: 50000	Loss: 1.429762363433838
DP Step: 50100	Log Step: 50100	Loss: 1.207526683807373
DP Step: 50200	Log Step: 50200	Loss: 2.4779458045959473
DP Step: 50300	Log Step: 50300	Loss: 1.3820642232894897
DP Step: 50400	Log Step: 50400	Loss: 1.543480396270752
DP Step: 50500	Log Step: 50500	Loss: 1.5846432447433472
DP Step: 50600	Log Step: 50600	Loss: 1.2542459964752197
DP Step: 50700	Log Step: 50700	Loss: 1.9561957120895386
DP Step: 50800	Log Step: 50800	Loss: 1.649340271949768
DP Step: 50900	Log Step: 50900	Loss: 1.973701000213623
DP Step: 51000	Log Step: 51000	Loss: 1.4596757888793945
DP Step: 51100	Log Step: 51100	Loss: 1.4315776824951172
DP Step: 51200	Log Step: 51200	Loss: 2.007563829421997
DP Step: 51300	Log Step: 51300	Loss: 1.8201348781585693
DP Step: 51400	Log Step: 51400	Loss: 1.1008708477020264
DP Step: 51500	Log Step: 51500	Loss: 0.9657014608383179
DP Step: 51600	Log Step: 51600	Loss: 1.260990858078003
DP Step: 51700	Log Step: 51700	Loss: 1.0872869491577148
DP Step: 51800	Log Step: 51800	Loss: 1.6216470003128052
DP Step: 51900	Log Step: 51900	Loss: 1.663740634918213
DP Step: 52000	Log Step: 52000	Loss: 0.8825435042381287
DP Step: 52100	Log Step: 52100	Loss: 0.9063159823417664
DP Step: 52200	Log Step: 52200	Loss: 1.591200828552246
DP Step: 52300	Log Step: 52300	Loss: 1.4172667264938354
DP Step: 52400	Log Step: 52400	Loss: 0.7191296815872192
DP Step: 52500	Log Step: 52500	Loss: 1.5029590129852295
DP Step: 52600	Log Step: 52600	Loss: 0.8464618921279907
DP Step: 52700	Log Step: 52700	Loss: 1.924515962600708
DP Step: 52800	Log Step: 52800	Loss: 1.45963454246521
DP Step: 52900	Log Step: 52900	Loss: 1.5014214515686035
DP Step: 53000	Log Step: 53000	Loss: 0.9678451418876648
DP Step: 53100	Log Step: 53100	Loss: 1.273242473602295
DP Step: 53200	Log Step: 53200	Loss: 0.6912282705307007
DP Step: 53300	Log Step: 53300	Loss: 0.9837446212768555
DP Step: 53400	Log Step: 53400	Loss: 0.6043888330459595
DP Step: 53500	Log Step: 53500	Loss: 1.2675203084945679
DP Step: 53600	Log Step: 53600	Loss: 1.1624659299850464
DP Step: 53700	Log Step: 53700	Loss: 1.143088936805725
DP Step: 53800	Log Step: 53800	Loss: 1.2082756757736206
DP Step: 53900	Log Step: 53900	Loss: 0.8366973400115967
DP Step: 54000	Log Step: 54000	Loss: 0.7202348709106445
DP Step: 54100	Log Step: 54100	Loss: 1.4430568218231201
DP Step: 54200	Log Step: 54200	Loss: 1.278638482093811
DP Step: 54300	Log Step: 54300	Loss: 1.0431280136108398
DP Step: 54400	Log Step: 54400	Loss: 0.9863471388816833
DP Step: 54500	Log Step: 54500	Loss: 1.4410483837127686
DP Step: 54600	Log Step: 54600	Loss: 1.5536839962005615
DP Step: 54700	Log Step: 54700	Loss: 0.6341947913169861
DP Step: 54800	Log Step: 54800	Loss: 1.1322383880615234
DP Step: 54900	Log Step: 54900	Loss: 0.5943921804428101
DP Step: 55000	Log Step: 55000	Loss: 0.7889916896820068
DP Step: 55100	Log Step: 55100	Loss: 0.9476237893104553
DP Step: 55200	Log Step: 55200	Loss: 1.2097307443618774
DP Step: 55300	Log Step: 55300	Loss: 0.9194921255111694
DP Step: 55400	Log Step: 55400	Loss: 1.035767674446106
DP Step: 55500	Log Step: 55500	Loss: 0.8106991648674011
DP Step: 55600	Log Step: 55600	Loss: 0.561248242855072
DP Step: 55700	Log Step: 55700	Loss: 0.4099644124507904
DP Step: 55800	Log Step: 55800	Loss: 1.049768328666687
DP Step: 55900	Log Step: 55900	Loss: 1.3954428434371948
DP Step: 56000	Log Step: 56000	Loss: 0.8098350763320923
DP Step: 56100	Log Step: 56100	Loss: 1.2573630809783936
DP Step: 56200	Log Step: 56200	Loss: 1.9968098402023315
DP Step: 56300	Log Step: 56300	Loss: 1.25120210647583
DP Step: 56400	Log Step: 56400	Loss: 1.1190928220748901
DP Step: 56500	Log Step: 56500	Loss: 1.8386008739471436
DP Step: 56600	Log Step: 56600	Loss: 1.3926494121551514
DP Step: 56700	Log Step: 56700	Loss: 1.898560643196106
DP Step: 56800	Log Step: 56800	Loss: 2.2257823944091797
DP Step: 56900	Log Step: 56900	Loss: 1.0717772245407104
DP Step: 57000	Log Step: 57000	Loss: 1.0050382614135742
DP Step: 57100	Log Step: 57100	Loss: 1.92214035987854
DP Step: 57200	Log Step: 57200	Loss: 1.4473698139190674
DP Step: 57300	Log Step: 57300	Loss: 1.0978853702545166
DP Step: 57400	Log Step: 57400	Loss: 1.2764503955841064
DP Step: 57500	Log Step: 57500	Loss: 1.2209409475326538
DP Step: 57600	Log Step: 57600	Loss: 1.4881962537765503
DP Step: 57700	Log Step: 57700	Loss: 1.3864421844482422
DP Step: 57800	Log Step: 57800	Loss: 1.40580415725708
DP Step: 57900	Log Step: 57900	Loss: 1.023896336555481
DP Step: 58000	Log Step: 58000	Loss: 1.3118441104888916
DP Step: 58100	Log Step: 58100	Loss: 0.960701584815979
DP Step: 58200	Log Step: 58200	Loss: 1.5539405345916748
DP Step: 58300	Log Step: 58300	Loss: 1.891772747039795
DP Step: 58400	Log Step: 58400	Loss: 1.0269737243652344
DP Step: 58500	Log Step: 58500	Loss: 0.9570881128311157
DP Step: 58600	Log Step: 58600	Loss: 1.5079588890075684
DP Step: 58700	Log Step: 58700	Loss: 1.3134517669677734
DP Step: 58800	Log Step: 58800	Loss: 1.0113943815231323
DP Step: 58900	Log Step: 58900	Loss: 1.1244038343429565
DP Step: 59000	Log Step: 59000	Loss: 1.2081077098846436
DP Step: 59100	Log Step: 59100	Loss: 1.4747637510299683
DP Step: 59200	Log Step: 59200	Loss: 1.5382190942764282
DP Step: 59300	Log Step: 59300	Loss: 1.315329670906067
DP Step: 59400	Log Step: 59400	Loss: 1.1934852600097656
DP Step: 59500	Log Step: 59500	Loss: 1.2173194885253906
DP Step: 59600	Log Step: 59600	Loss: 1.5334348678588867
DP Step: 59700	Log Step: 59700	Loss: 1.015265941619873
DP Step: 59800	Log Step: 59800	Loss: 0.7749147415161133
DP Step: 59900	Log Step: 59900	Loss: 0.9710615873336792
DP Step: 60000	Log Step: 60000	Loss: 1.4591901302337646
Storing model weights params and loading EMA to model.
Validation BC Loss: 1.4373056735833043
Evaluating Agent num_eval_runs: 50, num_envs: 10, NUM_RUNS: 5
Seed: 0
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 0
	Average Success Rate: 0.6
	Average Total Reward: -314.40017634660035
	Average Episode Length: 385.7
	Average Total Orig Reward: 71.89982365339964
Seed: 1
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 1
	Average Success Rate: 0.5
	Average Total Reward: -304.95369471040533
	Average Episode Length: 381.7
	Average Total Orig Reward: 77.2463052895948
Seed: 2
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 2
	Average Success Rate: 0.5
	Average Total Reward: -309.53913044176954
	Average Episode Length: 355.3
	Average Total Orig Reward: 46.26086955823037
Seed: 3
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 3
	Average Success Rate: 0.7
	Average Total Reward: -223.27424294056073
	Average Episode Length: 311.9
	Average Total Orig Reward: 89.32575705943924
Seed: 4
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 4
	Average Success Rate: 0.9
	Average Total Reward: -222.16453601540564
	Average Episode Length: 286.9
	Average Total Orig Reward: 65.63546398459428
Average Success Rate: 0.6399999999999999
Average Total Average Reward: -274.86635609094833
Average Episode Length: 344.3
Average Total Average Orig Reward: 70.07364390905165
Time taken: 382.63153529167175
Restoring model weights from EMA.
Checkpoint saved to scratch_dir/logs/robomimic__square/seed0_demos299/seed0/DP_Pretrain_base_policy_latest.pt at step 60000
DP Step: 60100	Log Step: 60100	Loss: 1.1238594055175781
DP Step: 60200	Log Step: 60200	Loss: 1.7507872581481934
DP Step: 60300	Log Step: 60300	Loss: 1.0555585622787476
DP Step: 60400	Log Step: 60400	Loss: 1.8167955875396729
DP Step: 60500	Log Step: 60500	Loss: 1.2291076183319092
DP Step: 60600	Log Step: 60600	Loss: 1.028343915939331
DP Step: 60700	Log Step: 60700	Loss: 1.3691697120666504
DP Step: 60800	Log Step: 60800	Loss: 1.5584625005722046
DP Step: 60900	Log Step: 60900	Loss: 1.145674467086792
DP Step: 61000	Log Step: 61000	Loss: 0.7799770832061768
DP Step: 61100	Log Step: 61100	Loss: 1.0181424617767334
DP Step: 61200	Log Step: 61200	Loss: 0.8457869291305542
DP Step: 61300	Log Step: 61300	Loss: 1.2371656894683838
DP Step: 61400	Log Step: 61400	Loss: 1.5119211673736572
DP Step: 61500	Log Step: 61500	Loss: 1.6403846740722656
DP Step: 61600	Log Step: 61600	Loss: 1.2714993953704834
DP Step: 61700	Log Step: 61700	Loss: 1.0624159574508667
DP Step: 61800	Log Step: 61800	Loss: 1.194089412689209
DP Step: 61900	Log Step: 61900	Loss: 1.3375003337860107
DP Step: 62000	Log Step: 62000	Loss: 0.9824306964874268
